id,offer_id,embedding,normalized_title,seniority_level,tech_stack,demand_score,created_at,category,contract_type_standardized,dedup_key
67b0c7a5-0be2-445d-8c2e-8fa7839d988a,d8f95645-f4e0-4171-9317-719c6e36be25,"[0.022788629,-0.0043445677,-0.047606632,-0.03370378,-0.108816974,-0.017239522,0.046898693,0.0737229,-0.034483545,-0.012755298,0.019895367,-0.019225858,0.08690081,-0.011252751,-0.022215683,0.010895127,",Responsable Transport,Senior,excel;power bi;sql,0.8,2026-04-08T07:55:34.858069+00:00,,,
e1c7deb7-a5b3-4c9e-a117-fdf9848a6822,3f612441-72a4-4714-a756-e6b10f6edbf9,"[0.019078631,0.03551452,-0.03888657,0.003468033,-0.040528838,-0.062487587,0.006765555,0.06372905,-0.11954626,0.06336419,-0.022834979,-0.029045528,-0.005345405,-0.06985127,-0.048587404,0.0026471023,0.0",Data Analyst,Mid,hadoop;hive;sql,0.8,2026-04-08T07:55:34.858069+00:00,,,
57583a86-8e74-41be-8dd3-f72fecfb17d2,676f2a99-dabb-47ec-8288-a74adf9641ea,"[-0.017844988,0.024896922,-0.020756697,0.00034685552,-0.043776374,-0.12165083,-0.014568028,0.10511441,-0.039549004,0.044619404,-0.019112784,-0.053834323,0.060117174,-0.07775431,-0.038039677,-0.0141444",Data Engineer,Senior,agile;api;bigquery;ci/cd;dbt;docker;etl;gcp;git;linux;scrum;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
ceabcce7-a275-4a11-bff9-7db6d6ef4114,3d4a9597-e432-416b-8964-491a0b3e832f,"[-0.025568446,0.040092256,-0.040049195,-0.03811692,-0.09544583,-0.106281355,-0.04124471,0.06924151,-0.07097561,0.015364363,-0.020710707,-0.0677005,-0.012661318,-0.08826249,0.0074675772,-0.039740417,0.",Data Engineer,Senior,agile;aws;bigquery;ci/cd;data engineering;docker;gcp;java;kafka;kubernetes;linux;scala;scrum;spark;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
773c31a4-3423-413a-86e5-b853abf50c07,44e6fe99-b80f-4bbf-b9e8-3c4798d86bf8,"[-0.013471483,0.013703734,-0.09285017,0.050989643,-0.090279706,0.035738714,-0.007470605,0.05568692,-0.021480536,0.05513725,-0.041820455,-0.030024732,0.093996175,-0.027171727,-0.02030069,0.11616089,0.0",Data Analyst,Senior,aws;azure;excel;looker;power bi;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
cbfff14b-bd52-4356-8645-7469f79367b8,74cac2f0-7325-4134-8ea1-b697580b8ce4,"[-0.071211495,-0.0010797336,-0.036184166,0.03442558,-0.06132248,-0.13325737,0.03789397,0.07095934,-0.056524865,0.049033307,-0.03894159,0.004425189,0.06616088,-0.04839861,-0.018334633,0.061290015,-0.04",Analytics Engineer,Mid,bigquery;dbt;git;looker;python;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
d06ff568-31bb-4b3c-a4b5-fba2b4787c19,d6e59240-ad9d-4fde-aca8-91a594f45b1d,"[-0.04820318,0.063376196,0.006387634,-0.08590892,-0.07057274,-0.068859115,-0.027185358,0.036881365,-0.02611999,0.05915237,0.0134953335,-0.13215001,0.015511249,-0.026254268,-0.035651505,-0.05094954,-0.",Data Platform Engineer,Senior,aws;azure;bigquery;ci/cd;kubernetes;terraform,0.9,2026-04-08T07:55:34.858069+00:00,,,
19bc24e2-35c0-4733-99dc-7a42df6c32fc,96371bac-8e9b-4265-9379-6e80aa6bd14a,"[-0.04446768,-0.0026184474,-0.012622926,0.016970929,-0.08327569,-0.16057846,0.0038070474,0.028922532,-0.050247062,-0.008182752,-0.0931726,-0.03723346,0.040741157,-0.05142473,-0.037474994,0.059633214,-",Data Engineer,Senior,airflow;aws;azure;bigquery;etl;python;spark;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
d880c9f2-f679-48ce-9160-6101a45108f6,fa72c67f-6184-4248-9dbd-ca8810d8f683,"[-0.060756505,-0.03513168,0.03089877,-0.042105924,-0.07182671,-0.009325526,0.015434282,1.9611944e-05,-0.032690924,-0.08885187,-0.043525796,-0.01674041,-0.0018537084,-0.030080287,-0.029860977,0.0291963",Submit Your Spontaneous Application And Join Stellantis !,Senior,,0.7,2026-04-08T07:55:34.858069+00:00,,,
449dbd02-9f44-4d25-8e65-aea0a25ed04f,893994ca-dc30-48f3-801a-d0e372c14b9d,"[-0.073909804,-0.0028192268,0.016706344,-0.018034657,-0.116633825,-0.13659795,0.035856843,0.02233512,-0.038662396,0.004950683,0.0017517078,-0.037442986,0.117402226,-0.100384764,-0.002911117,0.02842850",Data Engineer,Senior,ci/cd;etl;gcp;python;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
8ab849eb-7237-4882-8413-d64f0ef634ec,add9e5df-d397-4ca8-851c-70666698d403,"[-0.111136176,-0.025285507,-0.0008892307,0.018141057,0.013000489,-0.07359691,-0.038701333,0.0012220474,-0.09044444,-0.032306615,-0.08027142,0.013993069,-0.0150424205,-0.0674683,-0.05730186,-0.00626300",Data Scientist,Senior,hadoop;machine learning;python;pytorch;r;spark;sql;tensorflow,0.9,2026-04-08T07:55:34.858069+00:00,,,
aabb34fa-d68d-4d47-8e8e-5e382cc583ca,0584ab90-9cdf-4201-aefe-ca33002ff94d,"[-0.032370202,0.02193427,0.0057079066,-0.04180953,-0.08397613,-0.11150804,0.024155712,0.04517253,0.008479049,0.044552706,-0.06786762,-0.057376605,-0.014875707,-0.055926062,-0.099821456,-0.029215584,0.",Dataops Engineer,Senior,airflow;azure;ci/cd;docker;gcp;kubernetes,0.9,2026-04-08T07:55:34.858069+00:00,,,
794586b8-3dd3-488e-bffe-6d8050973623,235bea1d-ae35-497c-a635-c6bcd29ebdb4,"[-0.059356473,-0.05423222,-0.082460225,-0.05071165,-0.011038255,-0.04527485,0.046961874,0.040222876,-0.091541514,0.022623893,-0.037297707,-0.060148414,0.06751498,0.048691433,-0.01606937,0.0036299494,0",Développeur Rpa Et Agent Autonome - Mohammedia,Mid,api;c#;computer vision;javascript;machine learning;nlp;python;rest;scrum;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
2f522e36-4724-4f0d-8020-810deabf15e9,37de432e-742b-4246-81ff-a08e2cda1f43,"[0.035962384,0.04058972,-0.013701448,0.0025078787,-0.042142794,0.008479142,0.03902367,0.08970228,0.0108047165,0.026795639,-0.03209931,0.00763975,-0.033799008,0.004872157,-0.10933136,-0.037678972,-0.03",Professeur Permanent En Informatique - Fès,Senior,,0.7,2026-04-08T07:55:34.858069+00:00,,,
48c25217-15bf-45b4-8ce4-0df6fc59f662,fc4086de-e701-464f-8ef5-0234f63bc205,"[-0.04673843,0.0068210578,-0.029110298,-0.05349071,-0.074072145,-0.11253657,-0.055641145,0.074168235,-0.025476765,0.01513392,-0.070794724,-0.028381212,-0.02213997,-0.0781063,-0.008786251,0.006962975,-",Data Engineer,Mid,agile;airflow;aws;dbt;docker;kafka;postgresql;python;scrum;spark,0.9,2026-04-08T07:55:34.858069+00:00,,,
b532eae2-5918-40c5-b54b-76701d6c10de,886cb522-0b70-463c-8fb5-f1d954b968c5,"[-0.02516227,0.020634849,-0.064924836,0.018912176,-0.077545896,-0.043384302,0.0071777576,0.06801755,-0.028310442,0.023759509,-0.015165405,0.0035651838,0.0058497014,-0.05832685,0.033437964,0.07269806,-",Data Analyst,Junior,excel;pandas;power bi;python;sql,0.9,2026-04-08T07:55:34.858069+00:00,,,
