id,source_id,raw_offer_id,title,company,location,contract_type,salary_min,salary_max,required_skills,description,published_at,created_at,updated_at
d8f95645-f4e0-4171-9317-719c6e36be25,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,ca261ac8-5867-4c93-bb0e-162706d2656f,Responsable Transport,Confidentiel,Casablanca,CDI,,,excel;power bi;sql,"Rattaché à la Direction Supply Chain, vos missions principales sont: Superviser et de gérer tous les aspects du département transport, Garantir la livraison efficace et ponctuelle des produits aux cli",2026-02-18T07:42:03.025889+00:00,2026-04-08T07:54:16.28149+00:00,2026-04-08T07:54:16.28149+00:00
3f612441-72a4-4714-a756-e6b10f6edbf9,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,4b656702-64b2-47a7-a3e2-ed1df560c1a6,Data Analyst (H/F),Inetum,Parc Casanearshore Shore 28  Casablanca,CDI,5,,hadoop;hive;sql,"Dans le cadre du renforcement de notre équipe Data, nous recherchons un Ingénieur / Analyste Data chargé de : Analyser les besoins métiers et traduire les exigences fonctionnelles en spécifications te",2026-02-09T07:42:18.933323+00:00,2026-04-08T07:54:16.28149+00:00,2026-04-08T07:54:16.28149+00:00
676f2a99-dabb-47ec-8288-a74adf9641ea,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,c22f333c-65c3-4e8a-bfd1-16b434c22c97,Data Engineer Expérimenté (Data Platform),Alten Maroc,Rabat 10000 Rabat,CDI,,,agile;api;bigquery;ci/cd;dbt;docker;etl;gcp;git;linux;scrum;sql,"Vous aurez comme objectif de contribuer aux projets Data en apportant une expertise technique sur la Plateforme Data afin de casser les silos d’information, fournir des données par API, et accélérer l",2026-02-16T07:43:44.857301+00:00,2026-04-08T07:54:16.28149+00:00,2026-04-08T07:54:16.28149+00:00
3d4a9597-e432-416b-8964-491a0b3e832f,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,a35c58b4-8152-4823-a3b5-e71ad755bd53,Data Engineer Sénior (Data Platform),Alten Maroc,Rabat 10000 Rabat,CDI,,,agile;aws;bigquery;ci/cd;data engineering;docker;gcp;java;kafka;kubernetes;linux;scala;scrum;spark;sql,"Vous aurez comme objectif de concevoir, développer et maintenir des solutions de traitement de données à grande échelle au sein de la Plateforme Data, afin de soutenir les usages analytiques, opératio",2026-02-16T07:43:56.681155+00:00,2026-04-08T07:54:16.28149+00:00,2026-04-08T07:54:16.28149+00:00
44e6fe99-b80f-4bbf-b9e8-3c4798d86bf8,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,e8615914-bfbb-457e-85c5-a52e97e7f2ce,Data Analyst,Alten Maroc,Rabat 10000 Rabat,CDI,,,aws;azure;excel;looker;power bi;sql,"- Analyse et reporting - Création de tableaux de bord - Recommandations basées sur les données
Diplômé(e) d’un Bac+5 en école d'ingénieur ou équivalent universitaire avec une spécialisation en informa",2026-02-13T07:44:08.615974+00:00,2026-04-08T07:54:16.28149+00:00,2026-04-08T07:54:16.28149+00:00
cc9d6860-890b-46c7-a109-2787a4cbd4be,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,ca261ac8-5867-4c93-bb0e-162706d2656f,Responsable Transport,Confidentiel,Casablanca,CDI,,,excel;power bi;sql,"Rattaché à la Direction Supply Chain, vos missions principales sont: Superviser et de gérer tous les aspects du département transport, Garantir la livraison efficace et ponctuelle des produits aux cli",2026-02-18T09:38:07.572434+00:00,2026-04-08T09:50:05.240105+00:00,2026-04-08T09:50:05.240105+00:00
a9ac6d1f-4f18-4a84-93da-bcbe79b0e7d2,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,a35c58b4-8152-4823-a3b5-e71ad755bd53,Data Engineer Sénior (Data Platform),Alten Maroc,Rabat 10000 Rabat,CDI,,,agile;aws;bigquery;ci/cd;data engineering;docker;gcp;java;kafka;kubernetes;linux;scala;scrum;spark;sql,"Vous aurez comme objectif de concevoir, développer et maintenir des solutions de traitement de données à grande échelle au sein de la Plateforme Data, afin de soutenir les usages analytiques, opératio",2026-02-16T09:40:11.516145+00:00,2026-04-08T09:50:05.240105+00:00,2026-04-08T09:50:05.240105+00:00
65dbcc63-16f2-400d-9d76-0333f73176e2,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,e8615914-bfbb-457e-85c5-a52e97e7f2ce,Data Analyst,Alten Maroc,Rabat 10000 Rabat,CDI,,,aws;azure;excel;looker;power bi;sql,"- Analyse et reporting - Création de tableaux de bord - Recommandations basées sur les données
Diplômé(e) d’un Bac+5 en école d'ingénieur ou équivalent universitaire avec une spécialisation en informa",2026-02-13T09:40:24.795279+00:00,2026-04-08T09:50:05.240105+00:00,2026-04-08T09:50:05.240105+00:00
02bd579f-d5cf-4e22-9e7d-9912d7defaf9,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,c22f333c-65c3-4e8a-bfd1-16b434c22c97,Data Engineer Expérimenté (Data Platform),Alten Maroc,Rabat 10000 Rabat,CDI,,,agile;api;bigquery;ci/cd;dbt;docker;etl;gcp;git;linux;scrum;sql,"Vous aurez comme objectif de contribuer aux projets Data en apportant une expertise technique sur la Plateforme Data afin de casser les silos d’information, fournir des données par API, et accélérer l",2026-02-16T09:39:58.959847+00:00,2026-04-08T09:50:05.240105+00:00,2026-04-08T09:50:05.240105+00:00
f8bd1cd0-f986-4076-8175-0f8d20d49253,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,4b656702-64b2-47a7-a3e2-ed1df560c1a6,Data Analyst (H/F),Inetum,Parc Casanearshore Shore 28  Casablanca,CDI,5,,hadoop;hive;sql,"Dans le cadre du renforcement de notre équipe Data, nous recherchons un Ingénieur / Analyste Data chargé de : Analyser les besoins métiers et traduire les exigences fonctionnelles en spécifications te",2026-02-09T09:38:23.35221+00:00,2026-04-08T09:50:05.240105+00:00,2026-04-08T09:50:05.240105+00:00
