source_name,week_date,offer_count
seed,2026-04-06T00:00:00+00:00,10
adzuna,2026-02-02T00:00:00+00:00,3
adzuna,2026-04-06T00:00:00+00:00,176
rekrute,2026-02-09T00:00:00+00:00,60
emploi_ma,2026-02-16T00:00:00+00:00,15
adzuna,2026-02-16T00:00:00+00:00,16
rekrute,2026-02-16T00:00:00+00:00,70
adzuna,2026-02-23T00:00:00+00:00,8
rekrute,2026-02-23T00:00:00+00:00,14
emploi_ma,2026-02-23T00:00:00+00:00,15
rekrute,2026-03-02T00:00:00+00:00,15
emploi_ma,2026-03-02T00:00:00+00:00,15
adzuna,2026-03-02T00:00:00+00:00,23
rekrute,2026-03-09T00:00:00+00:00,2
adzuna,2026-03-09T00:00:00+00:00,17
emploi_ma,2026-03-09T00:00:00+00:00,59
rekrute,2026-03-16T00:00:00+00:00,2
adzuna,2026-03-16T00:00:00+00:00,77
adzuna,2026-03-23T00:00:00+00:00,76
emploi_ma,2026-03-30T00:00:00+00:00,15
adzuna,2026-03-30T00:00:00+00:00,328
adzuna,2026-02-09T00:00:00+00:00,16
emploi_ma,2026-04-06T00:00:00+00:00,18
adzuna,2026-01-26T00:00:00+00:00,23
adzuna,2026-01-19T00:00:00+00:00,27
