city,offer_count,avg_salary
"Brive-la-Gaillarde-Sud-Ouest, Brive-la-Gaillarde",10,38333
"13ème Arrondissement, Paris",10,
"Le Plessis-Robinson, Antony",9,
"Villeneuve-d'Ascq, Lille",9,
"Deux-Sèvres, Nouvelle-Aquitaine",9,
"1er-Arrondissement, Lyon",9,
"La-Madeleine, Lille",8,48000
"9ème Arrondissement, Paris",8,
"Suresnes, Nanterre",8,
"17ème Arrondissement, Paris",8,70000
"Rives, Grenoble",7,47000
"10ème Arrondissement, Paris",7,
"Bas-Rhin, Grand-Est",7,38500
"Boulogne-Billancourt, Hauts-de-Seine",6,
"Niort, Deux-Sèvres",6,
"Toulouse 14e Canton, Toulouse",6,3397
"Sceaux, Antony",5,55000
"Toulouse, France",2,53000
"Roubaix, Lille",5,44000
"Saint-Jean-de-Braye, Orléans",5,
"Ille-et-Vilaine, Bretagne",5,45000
"La Défense, Courbevoie",5,44230
"Paris, France",4,67500
"Bordeaux, France",2,35000
"Courbevoie, Nanterre",5,
"Massy, Palaiseau",5,
"Lyon, France",2,52500
"Mont-de-Marsan, Landes",5,
"Issy-les-Moulineaux, Boulogne-Billancourt",5,
"Rueil-Malmaison, Nanterre",4,57000
"Gennevilliers, Nanterre",4,
"Brest-L'Hermitage-Gouesnou, Brest",4,
"Villeneuve-la-Garenne, Nanterre",4,
"Brive-la-Gaillarde, Corrèze",4,
"Brest-Plouzané, Brest",4,
"Le-Relecq-Kerhuon, Brest",4,
"Chevigny-Saint-Sauveur, Dijon",4,
"Saint-Chamond, Saint-Etienne",4,
"Cantal, Auvergne-Rhône-Alpes",4,
"Montreuil, Bobigny",4,
"Sannois, Argenteuil",4,
"Aube, Grand-Est",4,
"Daoulas, Brest",4,
"Blagnac, Toulouse",4,
"Taverny, Pontoise",4,
"Le Kremlin-Bicêtre, L'Haÿ-les-Roses",4,
"Élancourt, Versailles",3,
"Cholet 1er Canton, Cholet",3,38000
"Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat",2,
"Vernon, Evreux",2,
"La Courneuve, Saint-Denis",2,
"Creil, Senlis",2,
"Lille, Nord",2,
"Côtes-d'Armor, Bretagne",2,
"Technopolis Pôle Offshoring Rabat, Immeuble B2 Axa 11100 Sala El Jadida",2,
"Réau, Combs-la-Ville",2,
"Labège;, Castanet-Tolosan",2,
Parc Casanearshore Shore 28  Casablanca,7,
"Antibes-Biot, Grasse",1,
"Castelnaudary, Carcassonne",1,
"Seine-Saint-Denis, Ile-de-France",1,
"Paris, Ile-de-France",207,33377
"Loire-Atlantique, Pays de la Loire",1,
"Chevreuse, Rambouillet",1,
"Plérin, Saint-Brieuc",1,
Rabat 10000 Rabat,109,
France,76,
Casablanca,48,
"1er Arrondissement, Paris",44,
"Ile-de-France, France",33,
Rabat,30,
"Gironde, Nouvelle-Aquitaine",25,55000
"Haute-Garonne, Occitanie",22,39879
"Nantes, Loire-Atlantique",19,
"Hauts-de-Seine, Ile-de-France",18,54643
"Levallois-Perret, Nanterre",18,
"Toulouse, Haute-Garonne",17,
"Saint-Cloud, Boulogne-Billancourt",16,55000
"Puteaux, Nanterre",16,
Mohammedia,15,
RABAT,15,
"Nord, Hauts-De-France",15,454
"Lyon, Rhône",15,
Marrakech,15,
Aïn El Aouda,15,
"Casanearshore Shore 22, Boulevard Al Qods, Sidi Maârouf, Casablanca 20520 Casablanca",14,
"Lot 660, Hay Moulay Rachid, Ben Guerir 43150",14,
Fès,14,
Morocco  Morocco,14,
"Bordeaux, Gironde",13,
"Rhône, Auvergne-Rhône-Alpes",12,36667
"3ème Arrondissement, Paris",12,
"8ème Arrondissement, Paris",11,56875
"Gard, Occitanie",10,36500
"Châtelaudren, Saint-Brieuc",1,
"Ivry-sur-Seine, Créteil",1,
"Nanterre, Hauts-de-Seine",1,
"Montreuil-sur-Epte, Pontoise",1,
"Palaiseau, Essonne",1,
"Meudon, Boulogne-Billancourt",1,
"Cannes, Grasse",1,
"2ème Arrondissement, Paris",6,50000
"Le Bar-sur-Loup, Grasse",6,42500
"16ème Arrondissement, Paris",4,
"Lille-Nord, Lille",3,
"Yvelines, Ile-de-France",3,
"Les-Clayes-Sous-Bois, Versailles",3,
"Saint-Orens-de-Gameville, Toulouse",3,
"Magny-les-Hameaux, Maurepas",3,
"Talence, Bordeaux",3,
"Pessac, Bordeaux",3,
