skill_name,offer_count,week_date
hive,7,2026-02-09T00:00:00+00:00
hadoop,7,2026-02-09T00:00:00+00:00
power bi,3,2026-01-26T00:00:00+00:00
machine learning,3,2025-12-29T00:00:00+00:00
data science,3,2025-07-21T00:00:00+00:00
sql,7,2026-04-06T00:00:00+00:00
azure,4,2026-04-06T00:00:00+00:00
spark,3,2026-04-06T00:00:00+00:00
nlp,3,2026-04-06T00:00:00+00:00
excel,2,2026-04-06T00:00:00+00:00
deep learning,2,2026-04-06T00:00:00+00:00
data engineering,3,2024-01-08T00:00:00+00:00
kafka,2,2026-04-06T00:00:00+00:00
mlflow,2,2026-04-06T00:00:00+00:00
machine learning,47,2026-04-06T00:00:00+00:00
git,2,2026-04-06T00:00:00+00:00
scikit-learn,2,2026-04-06T00:00:00+00:00
postgresql,2,2026-04-06T00:00:00+00:00
looker,2,2026-04-06T00:00:00+00:00
data science,3,2024-01-08T00:00:00+00:00
machine learning,3,2024-01-08T00:00:00+00:00
aws,2,2026-04-06T00:00:00+00:00
pytorch,2,2026-04-06T00:00:00+00:00
python,20,2026-04-06T00:00:00+00:00
power bi,10,2026-04-06T00:00:00+00:00
pandas,2,2026-04-06T00:00:00+00:00
airflow,2,2026-04-06T00:00:00+00:00
scrum,2,2026-04-06T00:00:00+00:00
tensorflow,4,2026-04-06T00:00:00+00:00
kubernetes,4,2026-04-06T00:00:00+00:00
dbt,4,2026-04-06T00:00:00+00:00
bigquery,7,2026-04-06T00:00:00+00:00
docker,6,2026-04-06T00:00:00+00:00
api,6,2026-04-06T00:00:00+00:00
data science,6,2026-04-06T00:00:00+00:00
databricks,2,2026-04-06T00:00:00+00:00
scala,1,2026-04-06T00:00:00+00:00
hive,1,2026-04-06T00:00:00+00:00
agile,5,2026-04-06T00:00:00+00:00
gcp,5,2026-04-06T00:00:00+00:00
etl,4,2026-04-06T00:00:00+00:00
computer vision,4,2026-04-06T00:00:00+00:00
ci/cd,4,2026-04-06T00:00:00+00:00
rest,4,2026-04-06T00:00:00+00:00
flask,3,2026-04-06T00:00:00+00:00
django,3,2026-04-06T00:00:00+00:00
fastapi,3,2026-04-06T00:00:00+00:00
machine learning,64,2026-03-30T00:00:00+00:00
linux,19,2026-03-30T00:00:00+00:00
databricks,17,2026-03-30T00:00:00+00:00
data science,16,2026-03-30T00:00:00+00:00
api,15,2026-03-30T00:00:00+00:00
agile,15,2026-03-30T00:00:00+00:00
c++,15,2026-03-30T00:00:00+00:00
nlp,15,2026-03-30T00:00:00+00:00
