company_name,active_offers,avg_salary,contract_types
Inetum,7,,CDI
AI Solutions,2,70000,CDI
TechFlow,2,52500,CDI
DataCorp France,2,65000,CDI
AnalytiQ,2,35000,CDD
ChapsVision,3,,Autre
DataWarehouse Co,2,53000,CDI
MakiPeople,3,,Autre
MP Data,3,50000,Autre
Peppermint Company,3,,CDI
Sekoia.io,3,,Autre
Shape It,3,46000,Autre
Safran,3,,Autre
Soors,3,,Autre
Stass Conseil,3,47500,Autre
Temeritati,3,,Autre
un emploi de Data Engineer chez Alma,3,,Autre
Machine Learning and AI,3,,Autre
KOMEET TECHNOLOGIES,2,51250,CDI
Airbus Group,1,,CDI
Grohe R.L.,1,1150,Autre
Sommelier du Parfum,1,,Autre
Meilleurtaux,1,,Autre
adbi,1,42000,Autre
COGNIZANT TECHNOLOGY SOLUTIONS FRANCE,1,,CDI
Caisse des dépôts groupe,1,,Autre
Airbus,1,,CDI
VINCI Energies en France,1,,Autre
Lokad,1,,Autre
Celad,1,,Autre
iscod alternance,9,,CDI
MAIF,2,,CDI
LHH,2,,Autre
Inside Group,1,,Autre
CELAD,1,38500,CDI
Hugging Face,1,,Autre
TalentsIT,1,,CDI
Alten Maroc,109,,CDI
Pathway,1,100,Autre
AGS - La garantie des salaires,1,,Autre
Airbus Operations SAS,1,,Autre
Morgan Philips Specialist Recruitment,1,,CDI
COGNIZANT FRANCE,1,,CDI
SoTalent,1,,Autre
CARREVOLUTIS,1,,CDI
Sopra Steria,37,,Autre
YCN DEV MAROC,30,,CDI
EDVANTIS HIGHER EDUCATION GROUP,29,,CDI
Mindrift,26,,Autre
MBDA,22,,CDI
KAINO CONSULTING,19,,CDI
LE MERCATO DE L'EMPLOI,18,,CDI
CREDIT MUTUEL ARKEA,16,,CDI
Nabla,16,,Autre
JOB CONNECT,15,,CDI
SERENITE LUXURY,15,,CDI
Confidentiel,15,,CDI
BRIQUETERIE JBEL ANNOUR,15,,CDI
AMANYS PHARMA,15,,CDI
AFRICAWORK,15,,CDI
Stellantis,14,,CDI
Synchrone Fr,14,,Autre
Air Arabia,14,,CDI
Um6P   Universite Mohammed Vi Polytechnique,14,,CDD
5 Degrés,14,50000,Autre
ILLUIN Technology,13,,Autre
Kaino,13,58654,CDI
KLANIK,13,,CDI
CDISCOUNT,11,,CDI
Mistral AI,10,,Autre
AGENCE FRANCAISE DE DEVELOPPEMENT,10,,Autre;CDI
Innova Solutions,10,55000,Autre
Expectra,9,26678,Autre
eXalt,9,,Autre
Coriom Conseil,9,449,Autre
TNP Consultants,9,,Autre
Michael Page,8,,CDI
Wewyse Reply,8,,Autre
Free-Work,8,45000,CDI
AIRBUS SAS,8,,Autre
THALES,8,,Autre;CDI
Capgemini,8,,Autre
Sia,7,,Autre
GROUPE CAISSE DES DEPOTS,7,,Autre
NEXTON,7,,Autre;CDI
AIS,7,42500,Autre;CDI
BNP PARIBAS,7,,Autre
agap2IT France,7,,Autre
Page Personnel,7,,Autre
Néosoft,6,,Autre
Collective.work,5,625,Autre;CDI
Ministere Interieur,5,,Autre
Crédit Agricole Personal Finance & Mobility,5,,Autre
Biotech Dental,5,,Autre
VISIAN,5,57600,CDI
VeoNum,5,45000,Autre
Dataworks,5,,Autre
Daveo,5,,Autre
Armée de l’air et de l’espace,5,,Autre
Degetel,5,,Autre
FED SAS,5,47000,CDI
Avanda Solutions,5,,CDI
Devoteam | Microsoft Partner,5,,Autre
Worldgrid,5,,Autre
Tata Consultancy Services France,5,,Autre
Mp Data,5,,Autre
Capijob,5,,Autre
meilleurtaux,2,,Autre
Capgemini Invent,5,,Autre
JAKALA,5,,Autre
StarClay,5,,Autre
PLUS QUE PRO,5,,CDI
Homa,5,,Autre
LVMH RECHERCHE,5,,Autre
Albatross,5,,Autre
Hlx Life Sciences,5,,Autre
OCTOGONE,4,,CDI
Abeille Assurances,4,,Autre
Malt,4,,Autre
MANPOWER FRANCE,4,,Autre
ManpowerGroup,4,,Autre
OBJECTWARE,4,55000,CDI
Nobora,4,,Autre
MLMCONSEIL,4,290,Autre
Monk AI,4,,Autre
Nexton,4,,CDI
MSI Experts,4,25000,CDI
Visian,4,55000,Autre
Antalis,4,,Autre
Ace Énergie,4,,Autre
ACTIALE,4,,Autre
Younited,4,,Autre
Veepee,4,,Autre
BANQUE DE FRANCE,4,,Autre
UCASE CONSULTING,4,50000,CDI
Sonos,4,,Autre
Craft AI,4,,Autre
Crossing Minds Recruiting,4,,Autre
Skezi,4,,Autre
Demant Aides Auditives,4,,Autre
Direct Assurance,4,,Autre
Doctrine,4,,Autre
Raidium,4,,Autre
R&S TELECOM,4,44000,CDI
ELITIS,4,,CDI
QUANTEAM,4,,Autre
Voodoo,4,,Autre
Qualitest Software Testing Mexico,4,,CDI
Pulsover,4,,Autre
GROUPE IRCEM,4,44000,Autre
Hanson Regan Limited,4,575,Autre
Harmattan AI,4,,Autre
Paylead,4,,Autre
IVIDATA Life Sciences,4,,Autre
JD CONSULTANTS,4,,CDI
JobTeaser,4,,Autre
K-LAGAN France,4,,Autre
La Banque Postale,4,,Autre
La Javaness,4,,Autre
Laboratoires URGO,4,,Autre
Aive,4,70000,Autre
Orakl Oncology,4,,Autre
Open,4,,Autre
Lùkla,4,55000,Autre
Maisons du Monde,4,,Autre
HCLTech,3,,Autre
IZIRY,3,,Stage
NOVENCIA Groupe,3,,CDI
QODEXIA,3,47000,Autre;CDI
ArianeGroup,2,,Autre
GRLCI,2,,CDI
Fed IT,2,,CDI
E.Leclerc,2,,CDI
Dxc   Cdg Rabat Rabat Sale Kenitra,2,,CDI
DEVATSCALE,2,475,Autre
CENISIS Data Agency,2,,Autre
Davidson Consulting,6,41750,Autre
Infogene,4,,Autre
Advanced Schema,4,,Autre
David Kennedy Recruitment,4,,CDI
Assystem,4,45000,Autre
Cabinet EKINOX,4,,CDI
Alphabet France Fleet Management,3,,CDI
Aqemia,3,,Autre
AssoConnect,3,,Autre
Atheïa,3,,Autre
Atos SE,3,,Autre
Coinhouse,3,,Autre
Credit Mutuel Arkea,3,,CDI
Direction Générale Adjointe Tech France Travail,3,,CDI
DSI Entreprise Adaptée etlusive,3,,Autre
Eleveight Group,3,,Autre
ELSYS Design,3,42500,Autre
Fondation Partage et Vie,3,,CDI
Gentis Recruitment SAS,3,42500,CDI
Golden Bees,3,,CDI
MeltOne Advisory,3,,Autre
lemlist,3,,Autre
Bureau des Talents,2,,CDI
Blue Yonder,2,,Autre
Axa Gbs Morocco,2,,CDI
NEXA Nantes,2,,Autre
Ministère des Armées,2,,CDI
Auchan Retail France,2,,Autre
